sample,scope,outcome,xvar,coef,se,t,p,sig,N,N_city,r2,mean_y
matched_2012_2022,inv_grant_pub,ln1p_new_applicants,ln1p_idc_stock,.1342230202262267,.037736796,3.5568209,.00043826737,***,3193,291,.9454242751395012,3.8331819
matched_2012_2022,inv_grant_pub,ln1p_new_applicants,ln1p_idc_new_l1,.0722759466475008,.023709666,3.0483749,.0025130103,***,3193,291,.9447787040146124,3.8331819
matched_2012_2022,inv_grant_pub,ln1p_new_applicants,ln1p_idc_new,.0751608027440128,.022453796,3.3473539,.00092356314,***,3193,291,.9447946625634576,3.8331819
matched_2012_2022,inv_grant_pub,new_applicant_share,ln1p_idc_stock_l1,.0229478377827373,.0092317648,2.4857476,.013491279,**,3193,291,.6941490667382555,.41113114
matched_2012_2022,inv_grant_pub,new_applicant_share,ln1p_idc_stock,.0262102787308021,.0091385087,2.8681135,.0044323299,***,3193,291,.6944453050228996,.41113114
matched_2012_2022,inv_grant_pub,new_applicant_share,ln1p_idc_new_l1,.0225443304490662,.00638725,3.5295832,.00048386113,***,3193,291,.693900702116351,.41113114
matched_2012_2022,inv_grant_pub,new_applicant_share,ln1p_idc_new,.0235337616292177,.0066043418,3.5633774,.00042791074,***,3193,291,.6939816075769283,.41113114
matched_2012_2022,inv_grant_pub,ln1p_total_patents,ln1p_idc_stock_l1,.1369790345082018,.036783449,3.7239313,.00023565085,***,3193,291,.9657784774926254,5.1561012
matched_2012_2022,inv_grant_pub,ln1p_total_patents,ln1p_idc_stock,.1500632277549208,.038027886,3.9461362,.000099704957,***,3193,291,.9658570774834766,5.1561012
matched_2012_2022,inv_grant_pub,ln1p_total_patents,ln1p_idc_new_l1,.0433263232327694,.022439288,1.9308243,.054479424,*,3193,291,.9652574986459811,5.1561012
matched_2012_2022,inv_grant_pub,ln1p_total_patents,ln1p_idc_new,.0399724295486872,.020210546,1.9778006,.048897672,**,3193,291,.9652501543885099,5.1561012
