eventdef,spec,outcome,event,rel,coef,se,t,p,sig,preF,prep,N,N_city,N_treated_city,mean_y
scope_ge_1,province_year_fe,ln1p_firm_total_patents,es_m2,-2,-.039683841,.049781866,-.79715455,.42617634,,.4818324479043021,.69522816,3719,233,79,5.174285566241617
scope_ge_1,province_year_fe,ln1p_firm_total_patents,es_0,0,-.024652066,.039341435,-.62661839,.53152549,,.4818324479043021,.69522816,3719,233,79,5.174285566241617
scope_ge_1,province_year_fe,ln1p_firm_total_patents,es_p1,1,-.08639662,.055292837,-1.5625283,.11952662,,.4818324479043021,.69522816,3719,233,79,5.174285566241617
scope_ge_1,province_year_fe,ln1p_firm_total_patents,es_p2,2,-.067534275,.07304021,-.92461777,.35612547,,.4818324479043021,.69522816,3719,233,79,5.174285566241617
scope_ge_1,province_year_fe,ln1p_firm_total_patents,es_p3,3,-.13899656,.087718368,-1.5845776,.11442447,,.4818324479043021,.69522816,3719,233,79,5.174285566241617
scope_ge_1,province_year_fe,ln1p_firm_total_patents,es_p4,4,-.17373084,.093761943,-1.8528928,.065167636,*,.4818324479043021,.69522816,3719,233,79,5.174285566241617
scope_ge_1,provyr_baseyr_fe,ln1p_firm_total_patents,es_m4,-4,-.22377171,.086557858,-2.585227,.010343321,**,2.988244241603725,.03185834,3719,233,79,5.174285566241617
scope_ge_1,provyr_baseyr_fe,ln1p_firm_total_patents,es_m3,-3,-.088510603,.061964907,-1.4283988,.15452194,,2.988244241603725,.03185834,3719,233,79,5.174285566241617
scope_ge_1,provyr_baseyr_fe,ln1p_firm_total_patents,es_m2,-2,-.085551322,.047376037,-1.805793,.072246805,*,2.988244241603725,.03185834,3719,233,79,5.174285566241617
scope_ge_1,provyr_baseyr_fe,ln1p_firm_total_patents,es_0,0,-.010907149,.043068822,-.25324929,.80029982,,2.988244241603725,.03185834,3719,233,79,5.174285566241617
scope_ge_1,provyr_baseyr_fe,ln1p_firm_total_patents,es_p1,1,-.06565813,.060085293,-1.0927488,.27563754,,2.988244241603725,.03185834,3719,233,79,5.174285566241617
scope_ge_1,provyr_baseyr_fe,ln1p_firm_total_patents,es_p2,2,-.026010104,.076512419,-.33994615,.73420465,,2.988244241603725,.03185834,3719,233,79,5.174285566241617
scope_ge_1,provyr_baseyr_fe,ln1p_firm_total_patents,es_p3,3,-.087282732,.095208868,-.91675001,.36022562,,2.988244241603725,.03185834,3719,233,79,5.174285566241617
scope_ge_1,provyr_baseyr_fe,ln1p_firm_total_patents,es_p4,4,-.10164708,.10352911,-.98182124,.32721066,,2.988244241603725,.03185834,3719,233,79,5.174285566241617
scope_ge_1,province_year_fe,new_firm_share_all_new_patents,es_m4,-4,.0091995243,.02611017,.35233492,.72490698,,.2019445703806082,.89497823,3719,233,79,.5172043216967891
scope_ge_1,province_year_fe,new_firm_share_all_new_patents,es_m3,-3,-.0066184788,.023371877,-.28318131,.7772904,,.2019445703806082,.89497823,3719,233,79,.5172043216967891
scope_ge_1,province_year_fe,new_firm_share_all_new_patents,es_m2,-2,-.0029497871,.022791862,-.12942281,.89713526,,.2019445703806082,.89497823,3719,233,79,.5172043216967891
scope_ge_1,province_year_fe,new_firm_share_all_new_patents,es_0,0,.0095812948,.022220448,.4311927,.66672862,,.2019445703806082,.89497823,3719,233,79,.5172043216967891
scope_ge_1,province_year_fe,new_firm_share_all_new_patents,es_p1,1,-.006365133,.021528428,-.29566178,.76775283,,.2019445703806082,.89497823,3719,233,79,.5172043216967891
scope_ge_1,province_year_fe,new_firm_share_all_new_patents,es_p2,2,-.0026001721,.021063784,-.12344278,.90186334,,.2019445703806082,.89497823,3719,233,79,.5172043216967891
scope_ge_1,province_year_fe,new_firm_share_all_new_patents,es_p3,3,-.010609297,.027328838,-.3882089,.69821745,,.2019445703806082,.89497823,3719,233,79,.5172043216967891
scope_ge_1,province_year_fe,new_firm_share_all_new_patents,es_p4,4,-.024936032,.027799644,-.89699107,.37065351,,.2019445703806082,.89497823,3719,233,79,.5172043216967891
scope_ge_1,provyr_baseyr_fe,new_firm_share_all_new_patents,es_m4,-4,.0022528865,.027429871,.082132593,.9346121,,.0478296021969456,.98611355,3719,233,79,.5172043216967891
scope_ge_1,provyr_baseyr_fe,new_firm_share_all_new_patents,es_m3,-3,-.0046278494,.025212001,-.18355739,.85452104,,.0478296021969456,.98611355,3719,233,79,.5172043216967891
scope_ge_1,provyr_baseyr_fe,new_firm_share_all_new_patents,es_m2,-2,-.0039940048,.023387412,-.17077583,.86454886,,.0478296021969456,.98611355,3719,233,79,.5172043216967891
