sample,scope,spec,outcome,coef,se,t,p,sig,N,N_city,mean_y
y2023,inv_grant_cited_appyear,provyr_baseyr_fe,new_applicant_share,.0035507450576984,.015291655,.23220147,.81654584,,4343,290,.5741366869970498
y2023,inv_grant_cited_appyear,province_year_fe,ln1p_new_applicants,-.0303717951155666,.034534682,-.87945783,.37988377,,4343,290,2.464232918928626
y2023,inv_grant_cited_appyear,provyr_baseyr_fe,ln1p_new_applicants,.0897689464334628,.049912781,1.7985163,.073138617,*,4343,290,2.464232918928626
y2023,inv_grant_cited_appyear,province_year_fe,ln1p_new_patents,-.0479205688210877,.037012164,-1.2947248,.19644861,,4343,290,2.569094335804706
y2023,inv_grant_cited_appyear,provyr_baseyr_fe,ln1p_new_patents,.092737563839999,.053456128,1.7348351,.083836153,*,4343,290,2.569094335804706
y2023,inv_grant_cited_appyear,province_year_fe,ln1p_total_patents,-.095417974944058,.0378167,-2.5231702,.012166701,**,4343,290,3.179906717082317
y2023,inv_grant_cited_appyear,provyr_baseyr_fe,ln1p_total_patents,.0621057952093997,.051953979,1.1954001,.23291071,,4343,290,3.179906717082317
y2023,inv_grant_cited_appyear,province_year_fe,ln1p_incumbent_patents,-.173721589022578,.051323723,-3.3848205,.00081078487,***,4343,290,2.371360904344163
y2023,inv_grant_cited_appyear,provyr_baseyr_fe,ln1p_incumbent_patents,.0731008764625035,.062018618,1.1786925,.2394902,,4343,290,2.371360904344163
y2023,inv_grant_cited_appyear,province_year_fe,hhi,-.0416861356914002,.01175933,-3.5449414,.00045786909,***,4343,290,.2182629923816992
y2023,inv_grant_cited_appyear,provyr_baseyr_fe,hhi,-.027749949597046,.012633439,-2.1965475,.028846871,**,4343,290,.2182629923816992
y2023,inv_grant_cited_appyear,province_year_fe,top10_share,-.0227103352484597,.0096179862,-2.3612361,.018877741,**,4343,290,.7603798615574704
y2023,inv_grant_cited_appyear,provyr_baseyr_fe,top10_share,-.0397053057659574,.013743008,-2.8891277,.0041554715,***,4343,290,.7603798615574704
y2020,inv_grant_familycited_appyear,province_year_fe,new_applicant_share,.0440432233164849,.010874262,4.0502262,.000065735963,***,3763,291,.4549803041740671
y2020,inv_grant_familycited_appyear,provyr_baseyr_fe,new_applicant_share,.0145176639441775,.011830985,1.2270885,.22078459,,3763,291,.4549803041740671
y2020,inv_grant_familycited_appyear,province_year_fe,ln1p_new_applicants,.0308810314118964,.030401872,1.0157609,.31058997,,3763,291,3.594371285123466
y2020,inv_grant_familycited_appyear,provyr_baseyr_fe,ln1p_new_applicants,.0680590743045558,.039652057,1.7164072,.087155387,*,3763,291,3.594371285123466
y2020,inv_grant_familycited_appyear,province_year_fe,ln1p_new_patents,.0349151515655431,.035642993,.97957969,.3281101,,3763,291,3.884808772965322
y2020,inv_grant_familycited_appyear,provyr_baseyr_fe,ln1p_new_patents,.0919973333737484,.046578497,1.9751031,.049204599,**,3763,291,3.884808772965322
y2020,inv_grant_familycited_appyear,province_year_fe,ln1p_total_patents,.0401128877627644,.042155523,.9515453,.34212002,,3763,291,4.796177151437145
y2020,inv_grant_familycited_appyear,provyr_baseyr_fe,ln1p_total_patents,.0815051133535828,.053237248,1.530979,.12686466,,3763,291,4.796177151437145
y2020,inv_grant_familycited_appyear,province_year_fe,ln1p_incumbent_patents,-.0714267156972023,.052306321,-1.3655466,.17313956,,3763,291,4.141298031241518
y2020,inv_grant_familycited_appyear,provyr_baseyr_fe,ln1p_incumbent_patents,.0514175402089703,.062211707,.82649302,.40920395,,3763,291,4.141298031241518
