block,variant,applicant_sample,event_term,outcome,coef,se,t,p,sig,N,N_city
event_ddd_scope_ge_2,g06_only,all,ev_0,field_new_share_total_field,0.010302072385261419,0.03741818707256436,0.2753225955411151,0.7830684063022351,,3877,291
event_ddd_scope_ge_2,g06_only,all,ev_p1,field_new_share_total_field,-0.006643713415781093,0.038672144128876096,-0.17179583820438596,0.8635980375132656,,3877,291
event_ddd_scope_ge_2,g06_only,all,ev_p2,field_new_share_total_field,-0.022209533627050658,0.03294996956267784,-0.6740380620019515,0.5002871155767026,,3877,291
event_ddd_scope_ge_2,g06_only,all,ev_p3,field_new_share_total_field,0.019310952189035144,0.036833114842816386,0.5242823549255538,0.6000821677219828,,3877,291
event_ddd_scope_ge_2,g06_only,all,ev_p4,field_new_share_total_field,0.0024601892671224403,0.031832562824544865,0.07728530312443091,0.9383965823434571,,3877,291
event_ddd_scope_ge_2,no_h04,all,ev_m4,ln1p_city_new_applicants_field,-0.493180956019036,0.07900218196389364,-6.242624491617643,4.3028905555408564e-10,***,4647,291
event_ddd_scope_ge_2,no_h04,all,ev_m3,ln1p_city_new_applicants_field,-0.10269487517863485,0.08102974712041372,-1.2673725246362402,0.20502211925141217,,4647,291
event_ddd_scope_ge_2,no_h04,all,ev_m2,ln1p_city_new_applicants_field,-0.09187033084933056,0.0671629746621344,-1.3678716779816162,0.17135224638245092,,4647,291
event_ddd_scope_ge_2,no_h04,all,ev_0,ln1p_city_new_applicants_field,-0.027348427724338722,0.0678864527423307,-0.40285545376987375,0.6870545635502335,,4647,291
event_ddd_scope_ge_2,no_h04,all,ev_p1,ln1p_city_new_applicants_field,-0.032214644545773954,0.0707090376103758,-0.4555944421600613,0.6486816405050523,,4647,291
event_ddd_scope_ge_2,no_h04,all,ev_p2,ln1p_city_new_applicants_field,-0.057821643900968625,0.07719495529272702,-0.7490339709597102,0.45383673049208867,,4647,291
event_ddd_scope_ge_2,no_h04,all,ev_p3,ln1p_city_new_applicants_field,0.07334335423690677,0.07610242232338546,0.9637453315907021,0.3351736210157417,,4647,291
event_ddd_scope_ge_2,no_h04,all,ev_p4,ln1p_city_new_applicants_field,0.2453265731574396,0.06977029046376707,3.5162039820493796,0.00043776451409427734,***,4647,291
event_ddd_scope_ge_2,no_h04,all,ev_m4,ln1p_city_new_patents_field,-0.5281829814095705,0.09763164540976701,-5.409956773674649,6.303996333495906e-08,***,4647,291
event_ddd_scope_ge_2,no_h04,all,ev_m3,ln1p_city_new_patents_field,-0.042453245715906605,0.10455167694232807,-0.40605035669895867,0.6847056006291372,,4647,291
event_ddd_scope_ge_2,no_h04,all,ev_m2,ln1p_city_new_patents_field,-0.04871631233438936,0.08578672934472585,-0.5678770213820307,0.5701184759074598,,4647,291
event_ddd_scope_ge_2,no_h04,all,ev_0,ln1p_city_new_patents_field,0.01580764909441998,0.08316287307368615,0.1900806034011556,0.8492459692263845,,4647,291
event_ddd_scope_ge_2,no_h04,all,ev_p1,ln1p_city_new_patents_field,-0.05017305931320701,0.08364550327104504,-0.5998297260598233,0.5486197202287442,,4647,291
event_ddd_scope_ge_2,no_h04,all,ev_p2,ln1p_city_new_patents_field,-0.04427597509802184,0.09145501262023599,-0.4841284674233922,0.6282946992108513,,4647,291
event_ddd_scope_ge_2,no_h04,all,ev_p3,ln1p_city_new_patents_field,0.13728700758338078,0.09492426946878076,1.4462793166770962,0.14809887461927215,,4647,291
event_ddd_scope_ge_2,no_h04,all,ev_p4,ln1p_city_new_patents_field,0.3439591349763367,0.08416134766516495,4.086901463897353,4.371726813104709e-05,***,4647,291
event_ddd_scope_ge_2,no_h04,all,ev_m4,city_new_share_total_field,0.004074765670657406,0.032770093305649534,0.12434403627269867,0.9010428819227271,,4014,291
event_ddd_scope_ge_2,no_h04,all,ev_m3,city_new_share_total_field,0.04781958118614978,0.03891061689990254,1.2289597286305054,0.2190869053991615,,4014,291
event_ddd_scope_ge_2,no_h04,all,ev_m2,city_new_share_total_field,0.024282722368279268,0.04168748158537509,0.5824943470991109,0.5602337480794508,,4014,291
event_ddd_scope_ge_2,no_h04,all,ev_0,city_new_share_total_field,0.052830712943684806,0.038890350152664316,1.3584530027705461,0.17431998566716084,,4014,291
event_ddd_scope_ge_2,no_h04,all,ev_p1,city_new_share_total_field,-0.006030019643841086,0.03637084299255436,-0.16579268303117192,0.8683201045279004,,4014,291
event_ddd_scope_ge_2,no_h04,all,ev_p2,city_new_share_total_field,0.01026893366085942,0.03209668228789611,0.3199375427263991,0.749015677453023,,4014,291
event_ddd_scope_ge_2,no_h04,all,ev_p3,city_new_share_total_field,0.02864500749732185,0.034422614281486276,0.8321566532710495,0.4053205273203259,,4014,291
