block,variant,applicant_sample,city_sample,spec,outcome,coef,se,t,p,sig,N,N_city,mean_diff_y,policy_controls
ddd_robustness,broad,no_oneshot,min50,diff_city_year_fe_policy_x_high,ln1p_city_new_patents_field,0.07945333314321537,0.05380552889895885,1.4766759990859009,0.13976250875416163,,4157,289,-3.025760233175946,"broadband_china_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,ip_demo_city"
ddd_robustness,broad,no_oneshot,min50,diff_city_year_fe,city_new_share_total_field,0.025777367814494398,0.01398798207137709,1.8428224802519115,0.06535493345762326,*,3845,288,-0.04730800095671076,
ddd_robustness,broad,no_oneshot,min50,diff_city_year_fe_policy_x_high,city_new_share_total_field,0.02387606198803874,0.016426782619334057,1.4534837735015136,0.14608948174977665,,3845,288,-0.04730800095671076,"broadband_china_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,ip_demo_city"
ddd_robustness,broad,no_oneshot,min50,diff_city_year_fe,field_new_share_total_field,0.04777490477058419,0.015496468228093127,3.082954391115671,0.002049565643520343,***,3845,288,0.11956718782757458,
ddd_robustness,broad,no_oneshot,min50,diff_city_year_fe_policy_x_high,field_new_share_total_field,0.0364834362022569,0.017778927554558784,2.0520605694746754,0.04016377636272818,**,3845,288,0.11956718782757458,"broadband_china_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,ip_demo_city"
ddd_robustness,broad,no_individual_no_oneshot,all,diff_city_year_fe,ln1p_city_new_applicants_field,0.3689196948894118,0.04419175771563235,8.348156171188242,6.933685550982799e-17,***,4647,291,-2.1195658095222822,
ddd_robustness,broad,no_individual_no_oneshot,all,diff_city_year_fe_policy_x_high,ln1p_city_new_applicants_field,0.1728268730626621,0.045227606040980216,3.821269534055498,0.00013276645056469404,***,4647,291,-2.1195658095222822,"broadband_china_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,ip_demo_city"
ddd_robustness,broad,no_individual_no_oneshot,all,diff_city_year_fe,ln1p_city_new_patents_field,0.4434072049102691,0.05885507222036841,7.533882606583836,4.925341069434902e-14,***,4647,291,-2.6942438045129458,
ddd_robustness,broad,no_individual_no_oneshot,all,diff_city_year_fe_policy_x_high,ln1p_city_new_patents_field,0.1707175147918311,0.058739519040977434,2.9063485295604203,0.0036567389338758027,***,4647,291,-2.6942438045129458,"broadband_china_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,ip_demo_city"
ddd_robustness,broad,no_individual_no_oneshot,all,diff_city_year_fe,city_new_share_total_field,0.010360512753054038,0.015512510712771922,0.6678811022205395,0.5042094912613823,,3675,291,-0.04461025638127237,
ddd_robustness,broad,no_individual_no_oneshot,all,diff_city_year_fe_policy_x_high,city_new_share_total_field,0.0046627246846066735,0.018949822895096818,0.24605637268584354,0.8056385944959567,,3675,291,-0.04461025638127237,"broadband_china_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,ip_demo_city"
ddd_robustness,broad,no_individual_no_oneshot,all,diff_city_year_fe,field_new_share_total_field,0.04755666538145372,0.01974819905518166,2.4081520167265835,0.016033503251691165,**,3675,291,0.12842005472927662,
ddd_robustness,broad,no_individual_no_oneshot,all,diff_city_year_fe_policy_x_high,field_new_share_total_field,0.016308793974871054,0.025044509240017818,0.6511923958490572,0.514922298398002,,3675,291,0.12842005472927662,"broadband_china_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,ip_demo_city"
ddd_robustness,broad,no_individual_no_oneshot,min20,diff_city_year_fe,ln1p_city_new_applicants_field,0.31761012383305115,0.04326960809029865,7.3402588525931565,2.1318114719790307e-13,***,4453,291,-2.185567470041614,
ddd_robustness,broad,no_individual_no_oneshot,min20,diff_city_year_fe_policy_x_high,ln1p_city_new_applicants_field,0.14565628257222238,0.04406553820791855,3.305446580158824,0.0009482517822644336,***,4453,291,-2.185567470041614,"broadband_china_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,ip_demo_city"
