spec,sample,outcome,y_version,xvar,coef,se,t,p,n,firms,clusters,r2
nocontrol_full,2008_2024,企业创新韧性4,winsor,ln1p_idc_stock,.021674101072391,.0098103695,2.2093053,.027957136,41903,5270,283,.56960368
nocontrol_ctrlsample,2008_2024,企业创新韧性4,winsor,ln1p_idc_stock,.0214233561642024,.0099570313,2.1515808,.032282546,41266,5030,282,.56242615
controls,2008_2024,企业创新韧性4,winsor,ln1p_idc_stock,.0196935550262379,.0096455729,2.0417197,.042113092,41266,5030,282,.56277126
nocontrol_full,2012_2022,企业创新韧性4,winsor,ln1p_idc_stock_l1,.0182967356153613,.010437362,1.7530038,.080695704,28598,4600,281,.23726803
nocontrol_ctrlsample,2012_2022,企业创新韧性4,winsor,ln1p_idc_stock_l1,.0181787634931951,.010409839,1.7463061,.081854433,28376,4458,281,.2356925
controls,2012_2022,企业创新韧性4,winsor,ln1p_idc_stock_l1,.0173688199048645,.010271405,1.6909877,.091951877,28376,4458,281,.23602588
nocontrol_full,2008_2024,企业创新韧性4,winsor,ln1p_idc_stock_l1,.0244811019779457,.0093712602,2.6123598,.0094739012,41903,5270,283,.56963718
nocontrol_ctrlsample,2008_2024,企业创新韧性4,winsor,ln1p_idc_stock_l1,.0242795914569116,.0094959652,2.5568323,.011088749,41266,5030,282,.5624606
controls,2008_2024,企业创新韧性4,winsor,ln1p_idc_stock_l1,.0225423643938444,.0091901971,2.4528706,.01478001,41266,5030,282,.56280255
nocontrol_full,2012_2022,企业创新韧性4,winsor,ln1p_idc_new,.0189001210245359,.008242242,2.2930801,.022584647,28598,4600,281,.23736888
nocontrol_ctrlsample,2012_2022,企业创新韧性4,winsor,ln1p_idc_new,.0189655860011437,.0081918668,2.3151727,.021326533,28376,4458,281,.23579654
controls,2012_2022,企业创新韧性4,winsor,ln1p_idc_new,.0189267550200492,.0081384489,2.3255973,.020754501,28376,4458,281,.23613922
nocontrol_full,2008_2024,企业创新韧性4,winsor,ln1p_idc_new,.0244259330351601,.0084921885,2.8762825,.0043309755,41903,5270,283,.56970316
nocontrol_ctrlsample,2008_2024,企业创新韧性4,winsor,ln1p_idc_new,.0244289091449487,.0085566277,2.8549693,.0046247672,41266,5030,282,.56252956
controls,2008_2024,企业创新韧性4,winsor,ln1p_idc_new,.0234033065085419,.0083097573,2.8163645,.0052011106,41266,5030,282,.56287342
nocontrol_full,2012_2022,企业创新韧性4,winsor,ln1p_idc_new_l1,.0210346203147258,.0083092432,2.5314724,.011905854,28598,4600,281,.2374648
nocontrol_ctrlsample,2012_2022,企业创新韧性4,winsor,ln1p_idc_new_l1,.020534891210521,.0082940105,2.4758701,.013882715,28376,4458,281,.23587622
controls,2012_2022,企业创新韧性4,winsor,ln1p_idc_new_l1,.0203064424992456,.0082786353,2.4528732,.014782094,28376,4458,281,.2362121
nocontrol_full,2008_2024,企业创新韧性4,winsor,ln1p_idc_new_l1,.0167360388795583,.0051775267,3.2324388,.0013730682,41903,5270,283,.56960183
nocontrol_ctrlsample,2008_2024,企业创新韧性4,winsor,ln1p_idc_new_l1,.0173722516541299,.0052152351,3.3310583,.00098094484,41266,5030,282,.5624339
controls,2008_2024,企业创新韧性4,winsor,ln1p_idc_new_l1,.0161499868851705,.0051520984,3.1346426,.0019028474,41266,5030,282,.56278002
