block,variant,applicant_sample,spec,outcome,coef,se,z,p,sig,N,N_city,mean_y,converged
ppml_ddd,g06_g16_g10l,no_individual,ppml_hdfe,field_new_applicants_field,-.2093244273089599,.037580572,-5.5700173,2.5471415e-08,***,9212,291,104.48924,1
ppml_ddd,g06_g16_g10l,no_individual,ppml_hdfe_policy_x_high,field_new_applicants_field,-.144626952933724,.046724781,-3.0952945,.0019661763,***,9212,291,104.48924,1
ppml_ddd,g06_g16_g10l,no_individual,ppml_hdfe,field_new_patents_field,-.236057826722314,.067220993,-3.5116682,.00044530345,***,9212,291,296.25262,1
ppml_ddd,g06_g16_g10l,no_individual,ppml_hdfe_policy_x_high,field_new_patents_field,-.2356950265148445,.064709097,-3.6423786,.00027013037,***,9212,291,296.25262,1
ppml_ddd,g06_g16_g10l,no_oneshot,ppml_hdfe,city_new_applicants_field,-.1465903138834287,.037667572,-3.8916845,.000099550598,***,9210,290,91.738113,1
ppml_ddd,g06_g16_g10l,no_oneshot,ppml_hdfe_policy_x_high,city_new_applicants_field,-.0734983338439831,.04679409,-1.5706755,.11625803,,9210,290,91.738113,1
ppml_ddd,g06_g16_g10l,no_oneshot,ppml_hdfe,city_new_patents_field,-.1580667201096311,.06917014,-2.2851872,.022301856,**,9210,290,333.70657,1
ppml_ddd,g06_g16_g10l,no_oneshot,ppml_hdfe_policy_x_high,city_new_patents_field,-.1692832357224047,.075636297,-2.2381217,.025213122,**,9210,290,333.70657,1
ppml_ddd,g06_g16_g10l,no_oneshot,ppml_hdfe,field_new_applicants_field,-.2068029527950389,.035321191,-5.8549256,4.7722302e-09,***,9240,291,98.402191,1
ppml_ddd,g06_g16_g10l,no_oneshot,ppml_hdfe_policy_x_high,field_new_applicants_field,-.1352796042556847,.040514115,-3.3390734,.00084058341,***,9240,291,98.402191,1
ppml_ddd,g06_g16_g10l,no_oneshot,ppml_hdfe,field_new_patents_field,-.201169224577827,.063312709,-3.1773908,.0014860667,***,9240,291,347.84131,1
ppml_ddd,g06_g16_g10l,no_oneshot,ppml_hdfe_policy_x_high,field_new_patents_field,-.1883363186194716,.063668095,-2.9580958,.0030954597,***,9240,291,347.84131,1
ppml_ddd,g06_g16_g10l,no_individual_no_oneshot,ppml_hdfe,city_new_applicants_field,-.1925267730552101,.042815588,-4.4966512,6.9032067e-06,***,8974,286,67.922638,1
ppml_ddd,g06_g16_g10l,no_individual_no_oneshot,ppml_hdfe_policy_x_high,city_new_applicants_field,-.1235068939852006,.051166266,-2.4138343,.015785635,**,8974,286,67.922638,1
ppml_ddd,g06_g16_g10l,no_individual_no_oneshot,ppml_hdfe,city_new_patents_field,-.2050264387221568,.08142826,-2.5178783,.011806412,**,8974,286,252.63449,1
ppml_ddd,g06_g16_g10l,no_individual_no_oneshot,ppml_hdfe_policy_x_high,city_new_patents_field,-.2342038533724932,.080028668,-2.9264994,.0034280019,***,8974,286,252.63449,1
ppml_ddd,g06_g16_g10l,no_individual_no_oneshot,ppml_hdfe,field_new_applicants_field,-.2382201699222082,.039854445,-5.9772549,2.2692899e-09,***,9126,291,73.811058,1
ppml_ddd,g06_g16_g10l,no_individual_no_oneshot,ppml_hdfe_policy_x_high,field_new_applicants_field,-.1752608532613246,.044999436,-3.8947344,.000098306358,***,9126,291,73.811058,1
ppml_ddd,g06_g16_g10l,no_individual_no_oneshot,ppml_hdfe,field_new_patents_field,-.2456932793694832,.073414743,-3.3466477,.00081795093,***,9126,291,265.57446,1
ppml_ddd,g06_g16_g10l,no_individual_no_oneshot,ppml_hdfe_policy_x_high,field_new_patents_field,-.2521772752897518,.069862075,-3.6096449,.00030661642,***,9126,291,265.57446,1
ppml_ddd,g06_only,all,ppml_hdfe,city_new_applicants_field,-.1336489341363824,.035022832,-3.8160517,.00013560407,***,9278,291,153.18216,1
ppml_ddd,g06_only,all,ppml_hdfe_policy_x_high,city_new_applicants_field,-.0500860917258771,.044379245,-1.1285927,.25906971,,9278,291,153.18216,1
ppml_ddd,g06_only,all,ppml_hdfe,city_new_patents_field,-.1468266804640666,.056975275,-2.5770245,.0099654868,***,9278,291,395.24875,1
ppml_ddd,g06_only,all,ppml_hdfe_policy_x_high,city_new_patents_field,-.143669348870046,.066194132,-2.1704242,.029974723,**,9278,291,395.24875,1
ppml_ddd,g06_only,all,ppml_hdfe,field_new_applicants_field,-.1687865423878144,.03322348,-5.080339,3.7676190e-07,***,9278,291,159.62267,1
ppml_ddd,g06_only,all,ppml_hdfe_policy_x_high,field_new_applicants_field,-.0896570659849671,.041247629,-2.1736295,.029732971,**,9278,291,159.62267,1
ppml_ddd,g06_only,all,ppml_hdfe,field_new_patents_field,-.1815157479331551,.054146364,-3.3523164,.00080138363,***,9278,291,408.97107,1
ppml_ddd,g06_only,all,ppml_hdfe_policy_x_high,field_new_patents_field,-.1600757162033873,.05772084,-2.7732742,.0055495342,***,9278,291,408.97107,1
ppml_ddd,g06_only,no_individual,ppml_hdfe,city_new_applicants_field,-.1941583926455453,.041143566,-4.7190461,2.3695284e-06,***,9150,289,98.526466,1
ppml_ddd,g06_only,no_individual,ppml_hdfe_policy_x_high,city_new_applicants_field,-.1164423166345781,.049484234,-2.3531196,.018616647,**,9150,289,98.526466,1
ppml_ddd,g06_only,no_individual,ppml_hdfe,city_new_patents_field,-.2163763922074192,.073865481,-2.9293303,.0033969318,***,9150,289,283.31268,1
ppml_ddd,g06_only,no_individual,ppml_hdfe_policy_x_high,city_new_patents_field,-.2292341040820167,.073213391,-3.1310408,.0017418802,***,9150,289,283.31268,1
ppml_ddd,g06_only,no_individual,ppml_hdfe,field_new_applicants_field,-.2145273732573986,.037948254,-5.6531549,1.5752912e-08,***,9182,290,104.22703,1
ppml_ddd,g06_only,no_individual,ppml_hdfe_policy_x_high,field_new_applicants_field,-.1474377478082242,.046436738,-3.1750238,.0014982419,***,9182,290,104.22703,1
ppml_ddd,g06_only,no_individual,ppml_hdfe,field_new_patents_field,-.2433563386644353,.068203852,-3.5680733,.00035961607,***,9182,290,295.88809,1
ppml_ddd,g06_only,no_individual,ppml_hdfe_policy_x_high,field_new_patents_field,-.2395831277361774,.065361425,-3.6655128,.00024684353,***,9182,290,295.88809,1
ppml_ddd,g06_only,no_oneshot,ppml_hdfe,city_new_applicants_field,-.1540716364706112,.038224597,-4.0306935,.000055612498,***,9210,290,91.639984,1
ppml_ddd,g06_only,no_oneshot,ppml_hdfe_policy_x_high,city_new_applicants_field,-.0795175948445909,.047269925,-1.6822027,.09252955,*,9210,290,91.639984,1
ppml_ddd,g06_only,no_oneshot,ppml_hdfe,city_new_patents_field,-.1672226887126848,.0693634,-2.4108202,.01591669,**,9210,290,333.70657,1
