license_no,license_year,company,city,source,idc_scope_raw,registered_address
B1-20170627,2017,丰泰云计算有限公司,上海,scope_city,深圳市;上海市,深圳市前海深港合作区前湾一路1号A栋201室(入驻深圳市前海商务秘书有限公司)
B1-20170627,2017,丰泰云计算有限公司,深圳,scope_city,深圳市;上海市,深圳市前海深港合作区前湾一路1号A栋201室(入驻深圳市前海商务秘书有限公司)
B1.B2-20140071,2014,上海安畅网络科技有限公司,上海,scope_city,上海市;无锡市,
B1.B2-20140071,2014,上海安畅网络科技有限公司,无锡,scope_city,上海市;无锡市,
B1-20170620,2017,北京来秀科技发展有限公司,北京,scope_city,衡水市;北京市,北京市朝阳区东三环中路9号29层3302
B1-20170620,2017,北京来秀科技发展有限公司,衡水,scope_city,衡水市;北京市,北京市朝阳区东三环中路9号29层3302
A2.B1.B2-20140034,2014,交通运输通信信息集团有限公司,上海,scope_city,上海市;北京市,北京市海淀区上庄乡中国交通通信中心卫星地面站
A2.B1.B2-20140034,2014,交通运输通信信息集团有限公司,北京,scope_city,上海市;北京市,北京市海淀区上庄乡中国交通通信中心卫星地面站
B1-20170005,2017,北京容大永业科技有限公司,北京,scope_city,北京市;武汉市,北京市西城区德外大街新风街2号天成科技大厦A座603室(德胜园区)
B1-20170005,2017,北京容大永业科技有限公司,武汉,scope_city,北京市;武汉市,北京市西城区德外大街新风街2号天成科技大厦A座603室(德胜园区)
B1.B2-20110295,2011,光明网传媒有限公司,北京,scope_city,北京市;鹰潭市,北京市东城区珠市口东大街5号二层西侧
B1.B2-20110295,2011,光明网传媒有限公司,鹰潭,scope_city,北京市;鹰潭市,北京市东城区珠市口东大街5号二层西侧
京A2.B1.B2-20130025,2013,北京歌华有线电视网络股份有限公司,北京,scope_city,北京市,北京市海淀区西三环北路87号4层409
B1-20170002,2017,上海岩憬信息科技有限公司,上海,scope_city,上海市;北京市,上海市浦东新区杨高北路528号
B1-20170002,2017,上海岩憬信息科技有限公司,北京,scope_city,上海市;北京市,上海市浦东新区杨高北路528号
B1-20173146,2017,广东志享信息科技有限公司,上海,scope_city,上海市;东莞市,东莞市寮步镇上屯村百业路8号
B1-20173146,2017,广东志享信息科技有限公司,东莞,scope_city,上海市;东莞市,东莞市寮步镇上屯村百业路8号
陕B1.B2-20090101,2009,西安航天基地数据发展有限公司,西安,scope_city,西安市,西安市航天基地航天中路369号西附楼二层
蒙B1.B2-20040025,2004,包头市万佳信息工程有限公司,包头,scope_city,包头市,内蒙古自治区包头稀土高新区软件园大厦D座205室
B1.B2-20140078,2014,茂名市群英网络有限公司,南宁,scope_city,茂名市;南宁市,茂名市高凉南路12号大院1号1501房
B1.B2-20140078,2014,茂名市群英网络有限公司,茂名,scope_city,茂名市;南宁市,茂名市高凉南路12号大院1号1501房
B1.B2-20160018,2016,广东网诚网络技术有限公司,东莞,scope_city,襄樊市;东莞市,东莞市东城区堑头祥兴大厦1506室
B2-20100132,2010,北京德利迅达科技有限公司,上海,scope_city,北京市;上海市,北京市朝阳区紫月路18号院12号楼一层101室
B2-20100132,2010,北京德利迅达科技有限公司,北京,scope_city,北京市;上海市,北京市朝阳区紫月路18号院12号楼一层101室
川B1.B2-20150185,2015,四川云滔信息技术有限公司,成都,scope_city,成都市,四川省成都市都江堰市四川都江堰经济开发区就创业基地12号厂房
宁B1.B2-20080014,2008,宁夏恒盛友情网络科技有限公司,中卫,scope_city,银川市;固原市;石嘴山市;吴忠市;中卫市,宁夏银川市兴庆区新宁园3单元1102室
宁B1.B2-20080014,2008,宁夏恒盛友情网络科技有限公司,吴忠,scope_city,银川市;固原市;石嘴山市;吴忠市;中卫市,宁夏银川市兴庆区新宁园3单元1102室
宁B1.B2-20080014,2008,宁夏恒盛友情网络科技有限公司,石嘴山,scope_city,银川市;固原市;石嘴山市;吴忠市;中卫市,宁夏银川市兴庆区新宁园3单元1102室
宁B1.B2-20080014,2008,宁夏恒盛友情网络科技有限公司,银川,scope_city,银川市;固原市;石嘴山市;吴忠市;中卫市,宁夏银川市兴庆区新宁园3单元1102室
浙B1.B2-20080083,2008,温州稳网信息技术有限公司,温州,scope_city,温州市,浙江省温州市望江东路丽江花苑1-4幢202室A1号
A2.B1-20140185,2014,广东力通网络科技有限公司,兰州,scope_city,天津市;承德市;长春市;无锡市;淄博市;武汉市;永州市;成都市;忻州市;阜新市;哈尔滨市;南昌市;兰州市,广州市天河区建中路58号东诚大厦403-406(仅限办公)
A2.B1-20140185,2014,广东力通网络科技有限公司,南昌,scope_city,天津市;承德市;长春市;无锡市;淄博市;武汉市;永州市;成都市;忻州市;阜新市;哈尔滨市;南昌市;兰州市,广州市天河区建中路58号东诚大厦403-406(仅限办公)
A2.B1-20140185,2014,广东力通网络科技有限公司,哈尔滨,scope_city,天津市;承德市;长春市;无锡市;淄博市;武汉市;永州市;成都市;忻州市;阜新市;哈尔滨市;南昌市;兰州市,广州市天河区建中路58号东诚大厦403-406(仅限办公)
A2.B1-20140185,2014,广东力通网络科技有限公司,天津,scope_city,天津市;承德市;长春市;无锡市;淄博市;武汉市;永州市;成都市;忻州市;阜新市;哈尔滨市;南昌市;兰州市,广州市天河区建中路58号东诚大厦403-406(仅限办公)
