license_no,license_year,company,city,source,idc_scope_raw,registered_address
B1-20243839,2024,抚顺辽星佳峰科技有限公司,抚顺,registered_fallback,,辽宁省抚顺市东洲区绥化路(西段)44-4号楼3单元2001号
B1-20215226,2021,中数云链科技有限公司,九江,registered_fallback,,江西省九江市濂溪区琴湖大道1198号九江数字经济产业园1号楼
A2.B1.B2-20215244,2021,北京易畅达网络科技有限公司,北京,registered_fallback,,北京市海淀区高梁桥斜街59号院1号楼15层1514-14
B1-20170464,2017,深圳市中深联科技有限公司,深圳,registered_fallback,,深圳市坪山新区坪山街道深圳出口加工区东门兰竹路与绿茵路交汇处中深联云计算中心
A2.B1.B2-20212036,2021,吉林省露源科技有限公司,吉林,registered_fallback,,抚松县露水河镇东山街
B1-20236175,2023,广州铭轩网络科技有限公司,广州,registered_fallback,,
B1-20222142,2022,四川锐速科技有限公司,雅安,registered_fallback,,四川省雅安市雅安经济开发区滨河东路11号
B1-20192753,2019,广州市鼎申科技发展有限公司,广州,registered_fallback,,广州市天河区东莞庄路2号财润国际大厦第9层06号房(仅限办公用途)(不可作厂房使用)
A2.B1-20212122,2021,河北思极科技有限公司,石家庄,registered_fallback,,石家庄高新区湘江道322号
B1-20211427,2021,海南希岩存储技术有限公司,海口,registered_fallback,,海南省海口市秀英区秀英街道海盛路35号豪达大厦486-2号
B1.B2-20240629,2024,上海晖唯科技有限公司,上海,registered_fallback,,
A2.B1-20184489,2018,北京雅歌方舟科技有限公司,北京,registered_fallback,,北京市朝阳区大鲁店北街2号1幢一层1108
B1.B2-20150161,2015,邯郸市众邦通讯器材有限公司,邯郸,registered_fallback,,邯郸市邯山区光明南大街83号1-1-12号
B1-20214279,2021,天一云数据（深圳）有限公司,深圳,registered_fallback,,深圳市南山区桃源街道平山社区留仙大道4093号南山云谷创新产业园山水楼6层B606房
B1.B2-20235059,2023,北京中荟兴科技有限公司,北京,registered_fallback,,
B1.B2-20194927,2019,电科云（北京）科技有限公司,北京,registered_fallback,,北京市石景山区石景山路54号院4号楼14层1401
A2.B1-20202193,2020,联云网运（武汉）网络服务有限公司,武汉,registered_fallback,,武汉东湖新技术开发区花城大道8号武汉软件新城三期C23栋101-046室(一址多照)
B1-20202889,2020,北京赛威迅通科技有限公司,北京,registered_fallback,,北京市海淀区北三环西路甲18号中鼎大厦B座三层中厅-1
A2.B1-20235605,2023,上海炫迅信息技术有限公司,上海,registered_fallback,,
B1-20195400,2019,北京互联星辰科技有限公司,北京,registered_fallback,,北京市通州区聚富苑民族产业发展基地聚富北路2号1幢3层-047
B1-20241947,2024,内蒙古创盈汇科技有限公司,呼和浩特,registered_fallback,,内蒙古自治区呼和浩特市赛罕区腾飞路腾飞大厦C座1303室
A2.B1-20213053,2021,上海级泽通信服务有限公司,上海,registered_fallback,,上海市奉贤区南奉公路8589号2幢8层554室
黔B2-20110005,2011,贵阳忆联网络有限公司,贵阳,registered_fallback,贵州省,贵州省贵阳市贵阳国家高新技术产业开发区金阳科技产业园标准厂房辅助用房B211室
B1-20184247,2018,医渡云（北京）技术有限公司,北京,registered_fallback,,北京市海淀区花园北路35号9号楼8层801
A2.B1-20130273,2013,北京天弛网络有限公司,北京,registered_fallback,,北京市朝阳区三间房东路1号第33幢一层B区
A2.B1-20200191,2020,北京富盛视联图像系统运营服务有限公司,北京,registered_fallback,,北京市丰台区南四环西路188号十区6号楼(园区)
B1-20170827,2017,广东云奥网络科技有限公司,广州,registered_fallback,,广州市天河区中山大道建工路11号五楼521房
B1-20120218,2012,吉林省高升科技有限公司,朝阳,registered_fallback,,吉林省长春市朝阳区前进大街996号力旺广场B座1505室
B1-20230020,2023,北京合盈云数据科技有限公司,北京,registered_fallback,,北京市延庆区井庄镇井家庄村二区3号1007（集群注册）
A2.B1-20172005,2017,北京微网聚力网络科技有限公司,北京,registered_fallback,,北京市海淀区东北旺路2号联创大厦4层415
B1-20160552,2016,上海七牛信息技术有限公司,上海,registered_fallback,,中国(上海)自由贸易试验区博霞路66号1-5层
A2.B1-20203556,2020,零卷云计算（上海）有限公司,上海,registered_fallback,,上海市闵行区元江路5500号第1幢
A2.B1-20200570,2020,上海锐速网络科技有限公司,上海,registered_fallback,,上海市宝山区纪蕴路588号北区4号楼一层1室
鲁B1.B2-20240971,2024,青岛宁康传媒有限公司,青岛,registered_fallback,,
豫B1.B2-20190108,2019,河南省北斗科技有限公司,驻马店,registered_fallback,,驻马店市黄淮学院大学生创新创业园C403室
浙B1-20170761,2017,杭州智库云科技有限公司,宁波,scope_city,宁波市,浙江省杭州市西湖区文三路404号2单元409室
B1-20200360,2020,四川视觉蓝网络科技有限公司,成都,registered_fallback,,成都市金牛区银沙北街90号附9号1幢1楼
B1-20180443,2018,北京易捷思达科技发展有限公司,北京,registered_fallback,,北京市海淀区西北旺东路10号院东区1号楼1层107-2号
B1-20235791,2023,北京雄苍科技有限公司,北京,registered_fallback,,
B1-20224383,2022,安徽智城原街信息技术有限公司,合肥,registered_fallback,,合肥市庐阳区灵溪路、时雨路交口兴庐科技产业园研发楼8号楼6楼
蒙B1-20220723,2022,内蒙古蜜购电子商务有限公司,赤峰,registered_fallback,,内蒙古自治区赤峰市红山区万达广场A地块1A号楼011110-1
B1-20241772,2024,北京万源数字生态科技有限公司,北京,registered_fallback,,
冀B1-20190403,2019,香河亿云网络技术服务有限公司,廊坊,registered_fallback,,河北省廊坊市香河县新华大街南侧兴济路西侧碧水蓝天6幢1单元801号
