year,city,applicant,patents,scope,applicant_type_rough,rank_city_year
2019,七台河,黑龙江恒益电气股份有限公司,6,inv_app_appyear,firm,2
2019,七台河,七台河市高科机械制造有限公司,3,inv_app_appyear,firm,3
2019,七台河,七台河万锂泰电材有限公司,2,inv_app_appyear,firm,4
2019,七台河,七台河市奥科奇峰节能技术研究所,2,inv_app_appyear,research_institute,5
2019,七台河,吴迪,2,inv_app_appyear,likely_individual,6
2019,七台河,国网黑龙江省电力有限公司七台河供电公司,2,inv_app_appyear,firm,7
2019,七台河,宝泰隆新材料股份有限公司,2,inv_app_appyear,firm,8
2019,七台河,郑越中,2,inv_app_appyear,likely_individual,9
2019,七台河,黑龙江利民药业有限公司,2,inv_app_appyear,firm,10
2019,七台河,黑龙江蒿氏健康科技有限责任公司,2,inv_app_appyear,firm,11
2019,七台河,七台河市万里恩成机械制造有限公司,1,inv_app_appyear,firm,12
2019,七台河,七台河市亿海物资再生利用有限责任公司,1,inv_app_appyear,firm,13
2019,七台河,七台河市绿源生物科技有限公司,1,inv_app_appyear,firm,14
2019,七台河,七台河晟斯凯特新型建材有限公司,1,inv_app_appyear,firm,15
2019,七台河,刘树江,1,inv_app_appyear,likely_individual,16
2019,七台河,大唐七台河发电有限责任公司,1,inv_app_appyear,firm,17
2019,七台河,孙金良,1,inv_app_appyear,likely_individual,18
2019,七台河,宋明,1,inv_app_appyear,likely_individual,19
2019,七台河,苗德森,1,inv_app_appyear,likely_individual,20
2020,七台河,大唐七台河发电有限责任公司,6,inv_app_appyear,firm,1
2020,七台河,侯艳权,5,inv_app_appyear,likely_individual,2
2020,七台河,戴红亮,4,inv_app_appyear,likely_individual,3
2020,七台河,七台河滨飞科技开发有限公司,3,inv_app_appyear,firm,4
2020,七台河,李柏松,3,inv_app_appyear,likely_individual,5
2020,七台河,刘照研,2,inv_app_appyear,likely_individual,6
2020,七台河,周长鸿,2,inv_app_appyear,likely_individual,7
2020,七台河,戴红飞,2,inv_app_appyear,likely_individual,8
2020,七台河,许辰光,2,inv_app_appyear,likely_individual,9
2020,七台河,郑越中,2,inv_app_appyear,likely_individual,10
2020,七台河,马立克,2,inv_app_appyear,likely_individual,11
2020,七台河,黑龙江万通管业有限公司,2,inv_app_appyear,firm,12
2020,七台河,黑龙江省北华电气设备有限公司,2,inv_app_appyear,firm,13
2020,七台河,丁文双,1,inv_app_appyear,likely_individual,14
2020,七台河,七台河万锂泰电材有限公司,1,inv_app_appyear,firm,15
2020,七台河,七台河市奥科奇峰节能技术研究所,1,inv_app_appyear,research_institute,16
2020,七台河,七台河市林野生态种植观光园有限公司,1,inv_app_appyear,firm,17
2020,七台河,七台河市茄子河区宏伟镇乡村振兴发展服务中心,1,inv_app_appyear,other_org_or_unclear,18
2020,七台河,七台河昌达生物能源科技有限公司,1,inv_app_appyear,firm,19
2020,七台河,勃利县美华食品有限公司,1,inv_app_appyear,firm,20
2021,七台河,国网黑龙江省电力有限公司七台河供电公司,25,inv_app_appyear,firm,1
2021,七台河,大唐七台河发电有限责任公司,11,inv_app_appyear,firm,2
2021,七台河,刘秀莲,5,inv_app_appyear,likely_individual,3
2021,七台河,黑龙江联顺生物科技有限公司,5,inv_app_appyear,firm,4
2021,七台河,吴冰,4,inv_app_appyear,likely_individual,5
2021,七台河,王凯,4,inv_app_appyear,likely_individual,6
2021,七台河,邓武石,4,inv_app_appyear,likely_individual,7
2021,七台河,武玉杰,3,inv_app_appyear,likely_individual,8
2021,七台河,靳开远,3,inv_app_appyear,likely_individual,9
2021,七台河,张宏伟,2,inv_app_appyear,likely_individual,10
2021,七台河,田士军,2,inv_app_appyear,likely_individual,11
2021,七台河,陈策,2,inv_app_appyear,likely_individual,12
2021,七台河,高广志,2,inv_app_appyear,likely_individual,13
2021,七台河,七台河三聚隆鹏新能源有限责任公司,1,inv_app_appyear,firm,14
2021,七台河,七台河市公安局,1,inv_app_appyear,other_org_or_unclear,15
2021,七台河,七台河市农投食品有限公司,1,inv_app_appyear,firm,16
2021,七台河,七台河市成程非晶合金开发有限责任公司,1,inv_app_appyear,firm,17
2021,七台河,于明永,1,inv_app_appyear,likely_individual,18
2021,七台河,关文秋,1,inv_app_appyear,likely_individual,19
2021,七台河,刘振国,1,inv_app_appyear,likely_individual,20
2022,七台河,国网黑龙江省电力有限公司七台河供电公司,15,inv_app_appyear,firm,1
2022,七台河,黑龙江联顺生物科技有限公司,3,inv_app_appyear,firm,2
2022,七台河,大唐七台河发电有限责任公司,2,inv_app_appyear,firm,3
2022,七台河,苏营,2,inv_app_appyear,likely_individual,4
2022,七台河,黑龙江升华医疗器械有限公司,2,inv_app_appyear,firm,5
2022,七台河,七台河宝泰隆新能源有限公司,1,inv_app_appyear,firm,6
