city,year,applicant_norm,clean_type,patents,applicant,rank_city_year
锡林郭勒盟,2022,内蒙古上都发电有限责任公司,firm,15,内蒙古上都发电有限责任公司,1
锡林郭勒盟,2022,锡林郭勒职业学院,univ,14,锡林郭勒职业学院,2
锡林郭勒盟,2022,内蒙古唐合科技有限公司,firm,13,内蒙古唐合科技有限公司,3
锡林郭勒盟,2022,神华北电胜利能源有限公司,firm,10,神华北电胜利能源有限公司,4
锡林郭勒盟,2022,内蒙古大唐国际锡林浩特发电有限责任公司,firm,6,内蒙古大唐国际锡林浩特发电有限责任公司,5
锡林郭勒盟,2022,于善广,individual,3,于善广,6
锡林郭勒盟,2022,内蒙古科泰隆达环保科技有限公司,firm,3,内蒙古科泰隆达环保科技有限公司,7
锡林郭勒盟,2022,国家电投集团内蒙古白音华煤电有限公司露天矿,firm,3,国家电投集团内蒙古白音华煤电有限公司露天矿,8
锡林郭勒盟,2022,西乌珠穆沁旗银漫矿业有限责任公司,firm,3,西乌珠穆沁旗银漫矿业有限责任公司,9
锡林郭勒盟,2022,京能(锡林郭勒)发电有限公司,firm,2,京能(锡林郭勒)发电有限公司,10
锡林郭勒盟,2022,京能新能源(苏尼特右旗)风力发电有限公司,firm,2,京能新能源(苏尼特右旗)风力发电有限公司,11
锡林郭勒盟,2022,内蒙古盛世柳兰农业科技发展有限责任公司,firm,2,内蒙古盛世柳兰农业科技发展有限责任公司,12
锡林郭勒盟,2022,内蒙古金原农牧科技有限公司,firm,2,内蒙古金原农牧科技有限公司,13
锡林郭勒盟,2022,孙文逊,individual,2,孙文逊,14
锡林郭勒盟,2022,斯琴巴特尔,other,2,斯琴巴特尔,15
锡林郭勒盟,2022,邓华理,individual,2,邓华理,16
锡林郭勒盟,2022,那自恒,individual,2,那自恒,17
锡林郭勒盟,2022,锡林郭勒热电有限责任公司,firm,2,锡林郭勒热电有限责任公司,18
锡林郭勒盟,2022,锡林郭勒盟山金阿尔哈达矿业有限公司,firm,2,锡林郭勒盟山金阿尔哈达矿业有限公司,19
锡林郭勒盟,2022,阿巴嘎旗金地矿业有限责任公司,firm,2,阿巴嘎旗金地矿业有限责任公司,20
锡林郭勒盟,2023,内蒙古上都发电有限责任公司,firm,44,内蒙古上都发电有限责任公司,1
锡林郭勒盟,2023,锡林郭勒职业学院,univ,13,锡林郭勒职业学院,2
锡林郭勒盟,2023,锡林郭勒热电有限责任公司,firm,11,锡林郭勒热电有限责任公司,3
锡林郭勒盟,2023,京能锡林郭勒能源有限公司,firm,8,京能锡林郭勒能源有限公司,4
锡林郭勒盟,2023,国能北电胜利能源有限公司,firm,8,国能北电胜利能源有限公司,5
锡林郭勒盟,2023,中材科技(锡林郭勒)风电叶片有限公司,firm,5,中材科技(锡林郭勒)风电叶片有限公司,6
锡林郭勒盟,2023,北方上都正蓝旗新能源有限责任公司,firm,5,北方上都正蓝旗新能源有限责任公司,7
锡林郭勒盟,2023,内蒙古安中科技有限公司,firm,4,内蒙古安中科技有限公司,8
锡林郭勒盟,2023,内蒙古唐合科技有限公司,firm,3,内蒙古唐合科技有限公司,9
锡林郭勒盟,2023,天齐(内蒙古)生物科技有限公司,firm,3,天齐(内蒙古)生物科技有限公司,10
锡林郭勒盟,2023,锡林浩特市牧乡源奶食品有限公司,firm,3,锡林浩特市牧乡源奶食品有限公司,11
锡林郭勒盟,2023,锡林浩特晨飞风电设备有限公司,firm,3,锡林浩特晨飞风电设备有限公司,12
锡林郭勒盟,2023,锡林郭勒盟嘉沃源农业科技发展有限公司,firm,3,锡林郭勒盟嘉沃源农业科技发展有限公司,13
锡林郭勒盟,2023,锡林郭勒盟翰燃新材料科技有限公司,firm,3,锡林郭勒盟翰燃新材料科技有限公司,14
锡林郭勒盟,2023,阿巴嘎旗金地矿业有限责任公司,firm,3,阿巴嘎旗金地矿业有限责任公司,15
锡林郭勒盟,2023,京能(锡林郭勒)发电有限公司,firm,2,京能(锡林郭勒)发电有限公司,16
锡林郭勒盟,2023,京能新能源(苏尼特右旗)风力发电有限公司,firm,2,京能新能源(苏尼特右旗)风力发电有限公司,17
锡林郭勒盟,2023,内蒙古京能苏尼特风力发电有限公司,firm,2,内蒙古京能苏尼特风力发电有限公司,18
锡林郭勒盟,2023,内蒙古大唐国际锡林浩特发电有限责任公司,firm,2,内蒙古大唐国际锡林浩特发电有限责任公司,19
锡林郭勒盟,2023,内蒙古晟兴商贸有限公司,firm,2,内蒙古晟兴商贸有限公司,20
锦州,2008,锦州锦恒汽车安全系统有限公司,firm,14,锦州锦恒汽车安全系统有限公司,1
锦州,2008,渤海大学,univ,10,渤海大学,2
锦州,2008,辽宁天合精细化工股份有限公司,firm,6,辽宁天合精细化工股份有限公司,3
锦州,2008,中信锦州铁合金股份有限公司,firm,5,中信锦州铁合金股份有限公司,4
锦州,2008,锦州金业化工冶金技术咨询有限公司,firm,4,锦州金业化工冶金技术咨询有限公司,5
锦州,2008,于洪儒,individual,3,于洪儒,6
锦州,2008,冷光君,individual,3,冷光君,7
锦州,2008,杜志刚,individual,3,杜志刚,8
锦州,2008,辽宁省电力有限公司锦州供电公司,firm,3,辽宁省电力有限公司锦州供电公司,9
锦州,2008,锦州凯美能源有限公司,firm,3,锦州凯美能源有限公司,10
锦州,2008,锦州汉拿电机有限公司,firm,3,锦州汉拿电机有限公司,11
锦州,2008,刘晓兵,individual,2,刘晓兵,12
锦州,2008,姚新安,individual,2,姚新安,13
锦州,2008,姜全海,individual,2,姜全海,14
锦州,2008,王玉林,individual,2,王玉林,15
锦州,2008,辽宁工业大学,univ,2,辽宁工业大学,16
锦州,2008,辽宁现代农机装备有限公司,firm,2,辽宁现代农机装备有限公司,17
锦州,2008,锦州宏丰印染厂有限公司,firm,2,锦州宏丰印染厂有限公司,18
锦州,2008,黄光智,individual,2,黄光智,19
锦州,2008,丁佳,individual,1,丁佳,20
锦州,2009,渤海大学,univ,12,渤海大学,1
锦州,2009,锦州汉拿电机有限公司,firm,6,锦州汉拿电机有限公司,2
锦州,2009,锦州康泰润滑油添加剂有限公司,firm,5,锦州康泰润滑油添加剂有限公司,3
锦州,2009,中信锦州铁合金股份有限公司,firm,3,中信锦州铁合金股份有限公司,4
锦州,2009,辽宁工业大学,univ,3,辽宁工业大学,5
锦州,2009,锦州硕丰农药集团有限公司,firm,3,锦州硕丰农药集团有限公司,6
锦州,2009,黄光智,individual,3,黄光智,7
锦州,2009,于洪儒,individual,2,于洪儒,8
锦州,2009,付德海,individual,2,付德海,9
锦州,2009,刘建国,individual,2,刘建国,10
锦州,2009,刘文章,individual,2,刘文章,11
锦州,2009,张希纯,individual,2,张希纯,12
锦州,2009,张建生,individual,2,张建生,13
锦州,2009,杜志刚,individual,2,杜志刚,14
锦州,2009,石政君,individual,2,石政君,15
锦州,2009,辽宁医学院,univ,2,辽宁医学院,16
