applicant_norm,clean_type,applicant,top_patents,top_rows,city_count,max_city_year_patents
张志通,individual,张志通,178,7,2,79
许昌义,individual,许昌义,176,5,1,140
张英华,individual,张英华,176,15,1,21
李尧,individual,李尧,175,1,1,175
王娟,individual,王娟,174,4,4,100
中国北方发动机研究所,research,中国北方发动机研究所,173,1,1,173
龚灿锋,individual,龚灿锋,173,2,1,101
陈晓容,individual,陈晓容,172,2,1,98
杨松,individual,杨松,170,4,2,75
河南中医药大学第一附属医院,hospital,河南中医药大学第一附属医院,169,1,1,169
陈烁,individual,陈烁,169,6,1,40
鹤壁市人民医院,hospital,鹤壁市人民医院,168,6,1,57
钟立朋,individual,钟立朋,167,2,1,97
淄博市中心医院,hospital,淄博市中心医院,167,4,1,54
沈阳铝镁设计研究院,research,沈阳铝镁设计研究院,166,2,1,105
赣南医学院第一附属医院,hospital,赣南医学院第一附属医院,166,5,1,64
中国人民解放军联勤保障部队第九二〇医院,hospital,中国人民解放军联勤保障部队第九二〇医院,165,2,1,107
李启飞,individual,李启飞,165,5,1,50
郑州市中心医院,hospital,郑州市中心医院,164,1,1,164
温州市中心医院,hospital,温州市中心医院,164,2,1,84
赵彦杰,individual,赵彦杰,163,10,1,42
张延年,individual,张延年,162,1,1,162
西南医科大学附属中医医院,hospital,西南医科大学附属中医医院,162,8,1,33
乔丹芳,individual,乔丹芳,161,4,1,61
甘肃省治沙研究所,research,甘肃省治沙研究所,161,10,2,30
贵州医科大学附属医院,hospital,贵州医科大学附属医院,160,2,1,108
李平,individual,李平,160,13,6,39
周峰,individual,周峰,159,6,2,86
梁启明,individual,梁启明,158,2,1,150
金华市农业科学研究院(浙江省农业机械研究院),research,金华市农业科学研究院(浙江省农业机械研究院),158,2,1,96
自贡市第一人民医院,hospital,自贡市第一人民医院,158,5,1,56
李先强,individual,李先强,157,10,4,23
林丽芳,individual,林丽芳,156,1,1,156
吴旭,individual,吴旭,156,2,1,82
南昌大学第一附属医院,hospital,南昌大学第一附属医院,156,2,1,79
河池市农业科学研究所,research,河池市农业科学研究所,153,2,1,150
佛山仙湖实验室,research,佛山仙湖实验室,152,1,1,152
刘玉燕,individual,刘玉燕,152,2,1,94
陆开云,individual,陆开云,152,4,2,60
滨州医学院附属医院,hospital,滨州医学院附属医院,152,6,1,55
四川金堂海纳生物医药技术研究所,research,四川金堂海纳生物医药技术研究所,151,1,1,151
汪晋强,individual,汪晋强,151,1,1,151
河池市技术开发中心,other,河池市技术开发中心,151,2,1,146
赖婷婷,individual,赖婷婷,150,1,1,150
陆菊芳,individual,陆菊芳,150,1,1,150
柳培健,individual,柳培健,150,3,1,61
右江民族医学院附属医院,hospital,右江民族医学院附属医院,150,6,1,45
于洋,individual,于洋,149,1,1,149
郭丰亮,individual,郭丰亮,149,1,1,149
罗洋洋,individual,罗洋洋,149,2,1,100
胡安然,individual,胡安然,148,1,1,148
商丘市第一人民医院,hospital,商丘市第一人民医院,148,4,1,86
仲崇允,individual,仲崇允,147,2,1,102
徐浩钟,individual,徐浩钟,147,5,4,34
朱德仲,individual,朱德仲,147,5,1,34
湖北航天技术研究院特种车辆技术中心,research,湖北航天技术研究院特种车辆技术中心,147,9,1,33
中南大学湘雅三医院,hospital,中南大学湘雅三医院,146,1,1,146
何巨堂,individual,何巨堂,146,6,1,44
广西壮族自治区兽医研究所,research,广西壮族自治区兽医研究所,146,5,1,41
张葵英,individual,张葵英,145,1,1,145
安徽华东光电技术研究所,research,安徽华东光电技术研究所,144,4,1,40
陕西康乐中医药养生研究院,research,陕西康乐中医药养生研究院,143,1,1,143
陈爱军,individual,陈爱军,143,2,1,83
张璐,individual,张璐,143,6,1,58
李理,individual,李理,143,4,1,46
刘清海,individual,刘清海,143,8,1,34
河南省洛阳正骨医院(河南省骨科医院),hospital,河南省洛阳正骨医院(河南省骨科医院),142,3,1,72
王兆进,individual,王兆进,142,4,1,40
中国电子科技南湖研究院,research,中国电子科技南湖研究院,141,2,1,83
贵州省材料产业技术研究院,research,贵州省材料产业技术研究院,141,3,1,61
中国科学院大学宁波华美医院,hospital,中国科学院大学宁波华美医院,140,1,1,140
交通运输部天津水运工程科学研究所,research,交通运输部天津水运工程科学研究所,140,1,1,140
何家平,individual,何家平,140,1,1,140
新疆维吾尔自治区人民医院,hospital,新疆维吾尔自治区人民医院,140,3,1,71
凌怀宇,individual,凌怀宇,140,5,1,57
昆明冶金研究院,research,昆明冶金研究院,140,6,1,29
邬方成,individual,邬方成,139,2,1,96
黄振忠,individual,黄振忠,139,6,1,37
王璐,individual,王璐,138,2,1,90
山东第一医科大学第二附属医院,hospital,山东第一医科大学第二附属医院,138,4,1,49
黄宇松,individual,黄宇松,137,2,1,102
中山市得高行知识产权中心(有限合伙),other,中山市得高行知识产权中心(有限合伙),137,2,1,82
赵慧娜,individual,赵慧娜,136,1,1,136
陈慧婷,individual,陈慧婷,136,3,1,50
张志雄,individual,张志雄,135,3,1,55
孟红琳,individual,孟红琳,135,4,2,51
中国人民解放军32181部队,other,中国人民解放军32181部队,134,2,1,75
朱春梅,individual,朱春梅,134,2,1,74
李扬远,individual,李扬远,134,5,3,43
徐定清,individual,徐定清,133,2,1,71
李星明,individual,李星明,133,6,1,67
杨永盛,individual,杨永盛,133,3,1,67
卢峰,individual,卢峰,132,2,1,89
徐小芹,individual,徐小芹,132,4,1,58
山东省花生研究所,research,山东省花生研究所,131,4,1,40
张义兵,individual,张义兵,130,4,1,56
杨培应,individual,杨培应,130,5,1,46
泰州市人民医院,hospital,泰州市人民医院,129,3,1,51
赵牧青,individual,赵牧青,128,2,2,75
于浩,individual,于浩,128,4,1,47
扬州大学附属医院,hospital,扬州大学附属医院,128,4,1,46
栾晓健,individual,栾晓健,127,1,1,127
罗叶叶,individual,罗叶叶,127,2,1,99
黄昊,individual,黄昊,127,2,1,97
李家海,individual,李家海,127,5,1,48
刘运武,individual,刘运武,127,9,1,29
黄俊柳,individual,黄俊柳,126,7,1,45
杜宗英,individual,杜宗英,126,3,1,42
郝纪涛,individual,郝纪涛,125,3,1,77
蔡银中,other,蔡银中,125,3,1,45
蒋春花,individual,蒋春花,124,2,1,80
广东医科大学附属医院,hospital,广东医科大学附属医院,122,5,1,59
昆明医科大学第一附属医院,hospital,昆明医科大学第一附属医院,122,3,1,58
谢娟,individual,谢娟,121,4,1,41
华玉叶,individual,华玉叶,120,1,1,120
昆山市玉山镇仕龙设计工作室,other,昆山市玉山镇仕龙设计工作室,120,1,1,120
郭和友,individual,郭和友,120,2,1,76
王建友,individual,王建友,120,4,1,75
朱彩玲,individual,朱彩玲,120,4,1,35
佛山市高明区生产力促进中心,other,佛山市高明区生产力促进中心,119,1,1,119
陈键,individual,陈键,119,3,2,70
西北有色金属研究院,research,西北有色金属研究院,119,2,1,60
遂宁市中心医院,hospital,遂宁市中心医院,119,4,1,54
