policy_name,batch_year,raw_region_name,mapping_level,coding,matched_city_count,matched_cities,rows_marked,source_name,source_url,note
broadband_china_pilot,2015,东莞市,city,city,1,东莞,9,MIIT/NDRC 2015 Broadband China demonstration cities PDF,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n973401/n1234279/n1234452/n1234453/c4376770/part/4376771.pdf,
broadband_china_pilot,2015,绵阳市,city,city,1,绵阳,9,MIIT/NDRC 2015 Broadband China demonstration cities PDF,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n973401/n1234279/n1234452/n1234453/c4376770/part/4376771.pdf,
broadband_china_pilot,2015,内江市,city,city,1,内江,9,MIIT/NDRC 2015 Broadband China demonstration cities PDF,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n973401/n1234279/n1234452/n1234453/c4376770/part/4376771.pdf,
broadband_china_pilot,2015,宜宾市,city,city,1,宜宾,9,MIIT/NDRC 2015 Broadband China demonstration cities PDF,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n973401/n1234279/n1234452/n1234453/c4376770/part/4376771.pdf,
broadband_china_pilot,2015,达州市,city,city,1,达州,9,MIIT/NDRC 2015 Broadband China demonstration cities PDF,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n973401/n1234279/n1234452/n1234453/c4376770/part/4376771.pdf,
broadband_china_pilot,2015,玉溪市,city,city,1,玉溪,9,MIIT/NDRC 2015 Broadband China demonstration cities PDF,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n973401/n1234279/n1234452/n1234453/c4376770/part/4376771.pdf,
broadband_china_pilot,2015,兰州市,city,city,1,兰州,9,MIIT/NDRC 2015 Broadband China demonstration cities PDF,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n973401/n1234279/n1234452/n1234453/c4376770/part/4376771.pdf,
broadband_china_pilot,2015,张掖市,city,city,1,张掖,9,MIIT/NDRC 2015 Broadband China demonstration cities PDF,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n973401/n1234279/n1234452/n1234453/c4376770/part/4376771.pdf,
broadband_china_pilot,2015,固原市,city,city,1,固原,9,MIIT/NDRC 2015 Broadband China demonstration cities PDF,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n973401/n1234279/n1234452/n1234453/c4376770/part/4376771.pdf,
broadband_china_pilot,2015,中卫市,city,city,1,中卫,9,MIIT/NDRC 2015 Broadband China demonstration cities PDF,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n973401/n1234279/n1234452/n1234453/c4376770/part/4376771.pdf,
broadband_china_pilot,2015,克拉玛依市,city,city,1,克拉玛依,9,MIIT/NDRC 2015 Broadband China demonstration cities PDF,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n973401/n1234279/n1234452/n1234453/c4376770/part/4376771.pdf,
broadband_china_pilot,2015,重庆市江津区,district_mapped_to_municipality,city,1,重庆,9,MIIT/NDRC 2015 Broadband China demonstration cities PDF,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n973401/n1234279/n1234452/n1234453/c4376770/part/4376771.pdf,
broadband_china_pilot,2015,重庆市荣昌区,district_mapped_to_municipality,city,1,重庆,9,MIIT/NDRC 2015 Broadband China demonstration cities PDF,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n973401/n1234279/n1234452/n1234453/c4376770/part/4376771.pdf,
broadband_china_pilot,2016,阳泉市,city,city,1,阳泉,8,MIIT/NDRC 2016 Broadband China demonstration cities via CAC mirror,https://www.cac.gov.cn/2016-07/26/c_1119279053.htm,
broadband_china_pilot,2016,晋中市,city,city,1,晋中,8,MIIT/NDRC 2016 Broadband China demonstration cities via CAC mirror,https://www.cac.gov.cn/2016-07/26/c_1119279053.htm,
broadband_china_pilot,2016,乌海市,city,city,1,乌海,8,MIIT/NDRC 2016 Broadband China demonstration cities via CAC mirror,https://www.cac.gov.cn/2016-07/26/c_1119279053.htm,
broadband_china_pilot,2016,包头市,city,city,1,包头,8,MIIT/NDRC 2016 Broadband China demonstration cities via CAC mirror,https://www.cac.gov.cn/2016-07/26/c_1119279053.htm,
broadband_china_pilot,2016,通辽市,city,city,1,通辽,8,MIIT/NDRC 2016 Broadband China demonstration cities via CAC mirror,https://www.cac.gov.cn/2016-07/26/c_1119279053.htm,
broadband_china_pilot,2016,沈阳市,city,city,1,沈阳,8,MIIT/NDRC 2016 Broadband China demonstration cities via CAC mirror,https://www.cac.gov.cn/2016-07/26/c_1119279053.htm,
broadband_china_pilot,2016,牡丹江市,city,city,1,牡丹江,8,MIIT/NDRC 2016 Broadband China demonstration cities via CAC mirror,https://www.cac.gov.cn/2016-07/26/c_1119279053.htm,
broadband_china_pilot,2016,无锡市,city,city,1,无锡,8,MIIT/NDRC 2016 Broadband China demonstration cities via CAC mirror,https://www.cac.gov.cn/2016-07/26/c_1119279053.htm,
broadband_china_pilot,2016,泰州市,city,city,1,泰州,8,MIIT/NDRC 2016 Broadband China demonstration cities via CAC mirror,https://www.cac.gov.cn/2016-07/26/c_1119279053.htm,
broadband_china_pilot,2016,南通市,city,city,1,南通,8,MIIT/NDRC 2016 Broadband China demonstration cities via CAC mirror,https://www.cac.gov.cn/2016-07/26/c_1119279053.htm,
broadband_china_pilot,2016,杭州市,city,city,1,杭州,8,MIIT/NDRC 2016 Broadband China demonstration cities via CAC mirror,https://www.cac.gov.cn/2016-07/26/c_1119279053.htm,
