license_no,license_year,company,city,province,idc_scope,location_source
B1-20172469,2017,北京盈骏科技有限公司,成都市,四川省,石家庄市;太原市;呼和浩特市;沈阳市;长春市;杭州市;合肥市;福州市;南昌市;武汉市;长沙市;成都市;西安市,scope_city_or_fallback
B1-20172469,2017,北京盈骏科技有限公司,杭州市,浙江省,石家庄市;太原市;呼和浩特市;沈阳市;长春市;杭州市;合肥市;福州市;南昌市;武汉市;长沙市;成都市;西安市,scope_city_or_fallback
B1-20172469,2017,北京盈骏科技有限公司,武汉市,湖北省,石家庄市;太原市;呼和浩特市;沈阳市;长春市;杭州市;合肥市;福州市;南昌市;武汉市;长沙市;成都市;西安市,scope_city_or_fallback
B1-20172469,2017,北京盈骏科技有限公司,沈阳市,辽宁省,石家庄市;太原市;呼和浩特市;沈阳市;长春市;杭州市;合肥市;福州市;南昌市;武汉市;长沙市;成都市;西安市,scope_city_or_fallback
B1-20172469,2017,北京盈骏科技有限公司,石家庄市,河北省,石家庄市;太原市;呼和浩特市;沈阳市;长春市;杭州市;合肥市;福州市;南昌市;武汉市;长沙市;成都市;西安市,scope_city_or_fallback
B1-20172469,2017,北京盈骏科技有限公司,福州市,福建省,石家庄市;太原市;呼和浩特市;沈阳市;长春市;杭州市;合肥市;福州市;南昌市;武汉市;长沙市;成都市;西安市,scope_city_or_fallback
B1-20172469,2017,北京盈骏科技有限公司,西安市,陕西省,石家庄市;太原市;呼和浩特市;沈阳市;长春市;杭州市;合肥市;福州市;南昌市;武汉市;长沙市;成都市;西安市,scope_city_or_fallback
B1-20172469,2017,北京盈骏科技有限公司,长春市,吉林省,石家庄市;太原市;呼和浩特市;沈阳市;长春市;杭州市;合肥市;福州市;南昌市;武汉市;长沙市;成都市;西安市,scope_city_or_fallback
B1-20172469,2017,北京盈骏科技有限公司,长沙市,湖南省,石家庄市;太原市;呼和浩特市;沈阳市;长春市;杭州市;合肥市;福州市;南昌市;武汉市;长沙市;成都市;西安市,scope_city_or_fallback
琼B1.B2-20210770,2021,星比特（海南）科技有限公司,海口市,海南省,nan,scope_city_or_fallback
B1-20183890,2018,上海联蔚信息科技有限公司,上海市,上海市,nan,scope_city_or_fallback
B1-20213515,2021,上海焱思智能科技有限公司,上海市,上海市,nan,scope_city_or_fallback
B1-20223957,2022,海南云下科技有限公司,海口市,海南省,nan,scope_city_or_fallback
黔B1.B2-20120031,2012,贵州兴乾盛科技有限公司,贵阳市,贵州省,贵州省,scope_city_or_fallback
B1-20190283,2019,兰州讯捷通达电子科技有限公司,兰州市,甘肃省,nan,scope_city_or_fallback
B1.B2-20183592,2018,内蒙古云智能网络科技有限责任公司,包头市,内蒙古自治区,nan,scope_city_or_fallback
B1.B2-20150198,2015,厦门市中资源网络服务有限公司,北京市,北京市,厦门市;广州市;北京市,scope_city_or_fallback
B1.B2-20150198,2015,厦门市中资源网络服务有限公司,厦门市,福建省,厦门市;广州市;北京市,scope_city_or_fallback
B1.B2-20150198,2015,厦门市中资源网络服务有限公司,广州市,广东省,厦门市;广州市;北京市,scope_city_or_fallback
B1-20194125,2019,江苏恒速网络科技有限公司,常州市,江苏省,nan,scope_city_or_fallback
B1-20212760,2021,上海翕风网络科技有限公司,上海市,上海市,nan,scope_city_or_fallback
A2.B1.B2-20192975,2019,北京盘古云泰网络科技有限公司,北京市,北京市,nan,scope_city_or_fallback
A2.B1-20196412,2019,内蒙古高投共建科技有限责任公司,鄂尔多斯市,内蒙古自治区,nan,scope_city_or_fallback
琼B1-20210696,2021,海南玖叁牛大数据科技有限公司,海口市,海南省,nan,scope_city_or_fallback
B1-20190891,2019,北京天天网讯信息科技有限公司,北京市,北京市,nan,scope_city_or_fallback
京B1.B2-20140063,2014,北京信威亚辰网络信息服务有限公司,北京市,北京市,北京市,scope_city_or_fallback
