symbol,year,patent_count_dedup,invention_count_dedup,strict_ai_title_all_count,ai_compute_title_all_count,strict_ai_title_invention_count,ai_compute_title_invention_count
000822,2015.0,1,1,0,0,0,0
000823,2009.0,1,1,0,0,0,0
000825,2022.0,1,1,0,0,0,0
000826,2023.0,1,0,0,0,0,0
000828,2023.0,7,0,0,0,0,0
000828,2024.0,1,1,0,0,0,0
000830,2007.0,1,1,0,0,0,0
000831,2016.0,1,0,0,0,0,0
000831,2018.0,1,1,0,0,0,0
000831,2024.0,2,1,0,0,0,0
000837,2012.0,4,4,0,0,0,0
000838,2017.0,1,0,0,0,0,0
000848,1992.0,1,1,0,0,0,0
000848,2004.0,2,2,0,0,0,0
000848,2005.0,1,1,0,0,0,0
000848,2009.0,1,0,0,0,0,0
000848,2012.0,1,0,0,0,0,0
000848,2017.0,1,0,0,0,0,0
000850,2013.0,1,1,0,0,0,0
000850,2014.0,1,1,0,0,0,0
000850,2018.0,1,1,0,0,0,0
000852,2001.0,1,0,0,0,0,0
000852,2008.0,1,0,0,0,0,0
000852,2009.0,1,0,0,0,0,0
000852,2012.0,1,1,0,0,0,0
000859,2020.0,1,1,0,0,0,0
000860,2008.0,1,0,0,0,0,0
000863,2011.0,1,0,0,0,0,0
000863,2012.0,1,0,0,0,0,0
000863,2013.0,1,0,0,0,0,0
000868,2008.0,1,1,0,0,0,0
000869,2024.0,1,1,0,0,0,0
000878,2009.0,1,0,0,0,0,0
000878,2014.0,1,1,0,0,0,0
000878,2016.0,1,0,0,0,0,0
000878,2022.0,2,1,0,0,0,0
000881,2012.0,1,1,0,0,0,0
000889,2017.0,1,0,0,0,0,0
000889,2020.0,2,0,0,0,0,0
000889,2021.0,2,0,0,0,0,0
000889,2022.0,1,0,0,0,0,0
000889,2023.0,4,1,0,0,0,0
000893,2014.0,1,1,0,0,0,0
000893,2020.0,3,3,0,0,0,0
000898,2014.0,2,2,0,0,0,0
000898,2015.0,2,2,0,0,0,0
000898,2017.0,1,1,0,0,0,0
000898,2020.0,1,1,0,0,0,0
000900,2012.0,1,0,0,0,0,0
000902,2009.0,1,1,0,0,0,0
000902,2011.0,1,1,0,0,0,0
000902,2013.0,1,1,0,0,0,0
000902,2017.0,1,1,0,0,0,0
000908,2007.0,1,0,0,0,0,0
000908,2016.0,1,1,0,0,0,0
000910,2004.0,1,0,0,0,0,0
000910,2008.0,1,0,0,0,0,0
000910,2010.0,1,1,0,0,0,0
000911,2003.0,1,0,0,0,0,0
000917,2016.0,1,1,0,0,0,0
000919,2007.0,1,1,0,0,0,0
000919,2013.0,1,1,0,0,0,0
000919,2014.0,1,1,0,0,0,0
000919,2021.0,1,1,0,0,0,0
000920,2021.0,1,1,0,0,0,0
000921,2006.0,1,1,0,0,0,0
000922,2017.0,2,1,0,0,0,0
000925,2016.0,2,2,0,0,0,0
000925,2017.0,1,1,0,0,0,0
000926,2008.0,2,0,0,0,0,0
000926,2011.0,4,0,0,0,0,0
000926,2012.0,4,0,0,0,0,0
000930,1993.0,1,1,0,0,0,0
000931,1995.0,1,1,0,0,0,0
000931,1999.0,1,1,0,0,0,0
000931,2003.0,1,1,0,0,0,0
000931,2005.0,2,2,0,0,0,0
000931,2006.0,1,1,0,0,0,0
000931,2007.0,1,1,0,0,0,0
000931,2008.0,1,1,0,0,0,0
000931,2010.0,2,1,0,0,0,0
000931,2011.0,1,1,0,0,0,0
000931,2012.0,2,2,0,0,0,0
000931,2013.0,3,3,0,0,0,0
000931,2014.0,1,1,0,0,0,0
000931,2019.0,3,1,0,0,0,0
000931,2020.0,14,0,0,0,0,0
000931,2022.0,17,12,0,0,0,0
000931,2023.0,13,8,0,0,0,0
000936,2012.0,2,1,0,0,0,0
000948,2017.0,1,1,0,0,0,0
000949,2011.0,1,1,0,0,0,0
000949,2012.0,2,2,0,0,0,0
000952,2012.0,1,1,0,0,0,0
000952,2016.0,1,0,0,0,0,0
000952,2017.0,2,2,0,0,0,0
000955,2007.0,2,2,0,0,0,0
000955,2009.0,1,1,0,0,0,0
000959,2016.0,1,1,0,0,0,0
000959,2019.0,1,1,0,0,0,0
000959,2020.0,1,1,0,0,0,0
000959,2021.0,2,2,0,0,0,0
000960,2011.0,1,1,0,0,0,0
000960,2012.0,2,2,0,0,0,0
000960,2014.0,1,1,0,0,0,0
000960,2016.0,1,1,0,0,0,0
000960,2019.0,3,3,0,0,0,0
000962,2007.0,1,1,0,0,0,0
000962,2012.0,1,1,0,0,0,0
000963,2012.0,1,1,0,0,0,0
000963,2023.0,1,1,0,0,0,0
000966,2011.0,1,0,0,0,0,0
000969,2008.0,1,1,0,0,0,0
000969,2012.0,1,1,0,0,0,0
000969,2013.0,1,1,0,0,0,0
000969,2017.0,1,1,0,0,0,0
000969,2021.0,1,1,0,0,0,0
000971,2015.0,1,1,0,0,0,0
000971,2016.0,3,3,0,1,0,1
000971,2017.0,2,1,0,1,0,1
000971,2018.0,1,0,0,0,0,0
000973,2013.0,1,1,0,0,0,0
000982,2022.0,1,1,0,0,0,0
000985,2004.0,2,1,0,0,0,0
000985,2005.0,1,1,0,0,0,0
